Data,Label Type,Model,Accuracy,Prompt Type,Model Size
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,metaphor,OPT-IML (MAX),34.166666666666664,scores_instruction,30000
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,literal,OPT-IML (MAX),10.833333333333334,scores_instruction,30000
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,anomaly,OPT-IML (MAX),31.666666666666664,scores_instruction,30000
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,metaphor,Flan-T5,69.16666666666667,scores_instruction,11000
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,literal,Flan-T5,5.0,scores_instruction,11000
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,anomaly,Flan-T5,26.666666666666668,scores_instruction,11000
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,metaphor,OPT-IML,34.166666666666664,scores_instruction,30000
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,literal,OPT-IML,20.0,scores_instruction,30000
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,anomaly,OPT-IML,42.5,scores_instruction,30000
Metaphors_and_Analogies_Pairs_Cardillo_set_test,metaphor,OPT-IML,47.30769230769231,scores_instruction,30000
Metaphors_and_Analogies_Pairs_Cardillo_set_test,metaphor,Flan-T5,50.76923076923077,scores_instruction,60
Metaphors_and_Analogies_Quadruples_Green_set_test,metaphor,Flan-T5,22.5,scores_instruction,220
Metaphors_and_Analogies_Quadruples_Green_set_test,literal,Flan-T5,22.5,scores_instruction,220
Metaphors_and_Analogies_Quadruples_Green_set_test,anomaly,Flan-T5,12.5,scores_instruction,220
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,metaphor,Flan-T5,26.666666666666668,scores_instruction,60
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,literal,Flan-T5,25.833333333333336,scores_instruction,60
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,anomaly,Flan-T5,28.333333333333332,scores_instruction,60
Metaphors_and_Analogies_Quadruples_Green_set_test,metaphor,OPT-IML,27.500000000000004,scores_instruction,30000
Metaphors_and_Analogies_Quadruples_Green_set_test,literal,OPT-IML,17.5,scores_instruction,30000
Metaphors_and_Analogies_Quadruples_Green_set_test,anomaly,OPT-IML,45.0,scores_instruction,30000
Metaphors_and_Analogies_Pairs_Cardillo_set_test,metaphor,Flan-T5,32.30769230769231,scores_instruction,220
Metaphors_and_Analogies_Pairs_Cardillo_set_test,metaphor,Flan-T5,52.307692307692314,scores_instruction,770
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,metaphor,OPT-IML,36.666666666666664,scores_instruction,1300
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,literal,OPT-IML,30.0,scores_instruction,1300
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,anomaly,OPT-IML,29.166666666666668,scores_instruction,1300
Metaphors_and_Analogies_Pairs_Cardillo_set_test,metaphor,Flan-T5,56.15384615384615,scores_instruction,3000
Metaphors_and_Analogies_Quadruples_Green_set_test,metaphor,Flan-T5,20.0,scores_instruction,11000
Metaphors_and_Analogies_Quadruples_Green_set_test,literal,Flan-T5,5.0,scores_instruction,11000
Metaphors_and_Analogies_Quadruples_Green_set_test,anomaly,Flan-T5,50.0,scores_instruction,11000
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,metaphor,Flan-T5,34.166666666666664,scores_instruction,220
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,literal,Flan-T5,25.833333333333336,scores_instruction,220
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,anomaly,Flan-T5,35.0,scores_instruction,220
Metaphors_and_Analogies_Pairs_Cardillo_set_test,metaphor,OPT-IML,50.38461538461539,scores_instruction,1300
Metaphors_and_Analogies_Pairs_Cardillo_set_test,metaphor,OPT-IML (MAX),43.84615384615385,scores_instruction,1300
Metaphors_and_Analogies_Pairs_Cardillo_set_test,metaphor,OPT-IML (MAX),46.15384615384615,scores_instruction,30000
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,metaphor,OPT-IML (MAX),24.166666666666668,scores_instruction,1300
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,literal,OPT-IML (MAX),22.5,scores_instruction,1300
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,anomaly,OPT-IML (MAX),25.833333333333336,scores_instruction,1300
Metaphors_and_Analogies_Quadruples_Green_set_test,metaphor,OPT-IML (MAX),40.0,scores_instruction,1300
Metaphors_and_Analogies_Quadruples_Green_set_test,literal,OPT-IML (MAX),22.5,scores_instruction,1300
Metaphors_and_Analogies_Quadruples_Green_set_test,anomaly,OPT-IML (MAX),37.5,scores_instruction,1300
Metaphors_and_Analogies_Pairs_Cardillo_set_test,metaphor,Flan-UL2,69.61538461538461,scores_instruction,20000
Metaphors_and_Analogies_Quadruples_Green_set_test,metaphor,Flan-T5,17.5,scores_instruction,3000
Metaphors_and_Analogies_Quadruples_Green_set_test,literal,Flan-T5,15.0,scores_instruction,3000
Metaphors_and_Analogies_Quadruples_Green_set_test,anomaly,Flan-T5,35.0,scores_instruction,3000
Metaphors_and_Analogies_Quadruples_Green_set_test,metaphor,OPT-IML,40.0,scores_instruction,1300
Metaphors_and_Analogies_Quadruples_Green_set_test,literal,OPT-IML,25.0,scores_instruction,1300
Metaphors_and_Analogies_Quadruples_Green_set_test,anomaly,OPT-IML,40.0,scores_instruction,1300
Metaphors_and_Analogies_Quadruples_Green_set_test,metaphor,Flan-T5,30.0,scores_instruction,770
Metaphors_and_Analogies_Quadruples_Green_set_test,literal,Flan-T5,7.5,scores_instruction,770
Metaphors_and_Analogies_Quadruples_Green_set_test,anomaly,Flan-T5,37.5,scores_instruction,770
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,metaphor,Flan-T5,56.666666666666664,scores_instruction,770
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,literal,Flan-T5,17.5,scores_instruction,770
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,anomaly,Flan-T5,42.5,scores_instruction,770
Metaphors_and_Analogies_Quadruples_Green_set_test,metaphor,Flan-T5,27.500000000000004,scores_instruction,60
Metaphors_and_Analogies_Quadruples_Green_set_test,literal,Flan-T5,27.500000000000004,scores_instruction,60
Metaphors_and_Analogies_Quadruples_Green_set_test,anomaly,Flan-T5,27.500000000000004,scores_instruction,60
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,metaphor,Flan-T5,46.666666666666664,scores_instruction,3000
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,literal,Flan-T5,12.5,scores_instruction,3000
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,anomaly,Flan-T5,42.5,scores_instruction,3000
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,metaphor,Flan-UL2,73.33333333333333,scores_instruction,20000
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,literal,Flan-UL2,8.333333333333332,scores_instruction,20000
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,anomaly,Flan-UL2,29.166666666666668,scores_instruction,20000
Metaphors_and_Analogies_Pairs_Cardillo_set_test,metaphor,Flan-T5,62.30769230769231,scores_instruction,11000
